iter	RMSE
166	3.140705888
167	3.136394742
168	3.128367323
169	3.122603424
170	3.112108652
171	3.107294677
172	3.102590597
173	3.095326843
174	3.094843095
175	3.091029549
176	3.081795463
177	3.075323348
178	3.069111508
179	3.064640949
180	3.058530229
181	3.050203112
182	3.042511099
183	3.03875629
184	3.035204595
185	3.033620159
186	3.030045751
187	3.028186364
188	3.025370813
189	3.015432585
190	3.011773817
191	3.00813776
192	3.003527899
193	2.996937044
194	2.990150157
195	2.986901496
196	2.984520286
197	2.974623056
198	2.967218035
199	2.95892356
200	2.95264419
201	2.94257712
202	2.936465075
203	2.930935148
204	2.92576331
205	2.920345506
206	2.910096137
207	2.905709225
208	2.903123573
209	2.897124876
210	2.892788476
211	2.888557617
212	2.887304763
213	2.879773735
214	2.87163276
215	2.866256611
216	2.858763496
217	2.849158438
218	2.840535307
219	2.837375388
220	2.833109146
221	2.830692627
222	2.822445123
223	2.813825732
224	2.810111702
225	2.807414409
226	2.800339139
227	2.793636931
228	2.790354895
229	2.788860516
230	2.786419722
231	2.782371714
232	2.77790348
233	2.7739186
234	2.76685855
235	2.762529372
236	2.753650573
237	2.747140534
238	2.741845793
239	2.738323634
240	2.729754115
241	2.725435379
242	2.722539409
243	2.71983626
244	2.718410278
245	2.709323213
246	2.70290523
247	2.700029157
248	2.698683249
249	2.696365651
250	2.693761253
251	2.69177031
252	2.687466874
253	2.683924146
254	2.676455773
255	2.669701401
256	2.663700378
257	2.661064749
258	2.654407157
259	2.645937983
260	2.642589796
261	2.640557609
262	2.634483023
263	2.633167724
264	2.629831254
265	2.623635256
266	2.622277157
267	2.617033384
268	2.612005344
269	2.609626526
270	2.601486786
271	2.592636118
272	2.586060148
273	2.58477442
274	2.581877893
275	2.575765092
276	2.574510714
277	2.569005962
278	2.560268012
279	2.554490642
280	2.54745949
281	2.541032683
282	2.53869181
283	2.534065382
284	2.528778282
285	2.519381006
286	2.515345073
287	2.509257915
288	2.500881596
289	2.497064733
290	2.49281707
291	2.483694553
292	2.477032348
293	2.475593804
294	2.469740322
295	2.462279426
296	2.457776225
297	2.451277078
298	2.44753961
299	2.44415869
300	2.441405277
301	2.437861966
302	2.435793606
303	2.430286731
304	2.422581251
305	2.417229222
306	2.408833303
307	2.402612216
308	2.40051727
309	2.396151732
310	2.391136754
311	2.389978241
312	2.388693702
313	2.385710604
314	2.382522879
315	2.378375236
316	2.369997295
317	2.368884533
318	2.36768815
319	2.366366657
320	2.359528033
321	2.353542395
322	2.350893685
323	2.346891584
324	2.345430915
325	2.343814975
326	2.340476599
327	2.334527752
328	2.331334425
329	2.323774463
330	2.322569592
331	2.320171132
332	2.319040389
333	2.313027949
334	2.306570172
335	2.300159954
336	2.298200638
337	2.294635231
338	2.293052038
339	2.289586258
340	2.282804637
341	2.279067142
342	2.273193814
343	2.265957584
344	2.261376984
345	2.254504852
346	2.253110845
347	2.248086255
348	2.246357647
349	2.245017017
350	2.243812906
351	2.239316228
352	2.236649258
353	2.230708563
354	2.229306379
355	2.228166189
356	2.223470127
357	2.218783534
358	2.212895024
359	2.208608914
360	2.203907755
361	2.202774499
362	2.201460973
363	2.196556956
364	2.192043633
365	2.187601676
366	2.184007444
367	2.181606711
368	2.178338304
369	2.173186067
370	2.171523537
371	2.167777003
372	2.163156934
373	2.157499862
374	2.153258702
375	2.149123467
376	2.147644425
377	2.143113626
378	2.136685471
379	2.133978454
380	2.130346124
381	2.124286136
382	2.123544204
383	2.120963024
384	2.116845246
385	2.111971426
386	2.109140613
387	2.108087953
388	2.103500275
389	2.097342077
390	2.094189406
391	2.092899884
392	2.088387289
393	2.087412255
394	2.083191876
395	2.077162277
396	2.075299533
397	2.073081782
398	2.070756094
399	2.069444803
400	2.065494961
401	2.064836494
402	2.060101102
403	2.056091385
404	2.050947402
405	2.048394791
406	2.044310557
407	2.040026452
408	2.035116042
409	2.030629617
410	2.02636277
411	2.023922015
412	2.021627636
413	2.020083972
414	2.014289835
415	2.012023489
416	2.009770452
417	2.008899038
418	2.008430269
419	2.002821011
420	1.998716535
421	1.997883307
422	1.996977223
423	1.994624777
424	1.991853316
425	1.987690414
426	1.986507835
427	1.983520537
428	1.981996584
429	1.978663137
430	1.97354745
431	1.96935115
432	1.966728489
433	1.96416231
434	1.962290979
435	1.958147416
436	1.956222703
437	1.953809427
438	1.950072252
439	1.946854366
440	1.941947211
441	1.939089502
442	1.93627375
443	1.933560569
444	1.929062343
445	1.926670125
446	1.925859422
447	1.923437236
448	1.91922383
449	1.914553023
450	1.912583578
451	1.90788681
452	1.905868198
453	1.904756656
454	1.901883894
455	1.900944381
456	1.89905775
457	1.896657154
458	1.893674854
459	1.888535813
460	1.88401964
461	1.881792903
462	1.879258062
463	1.875007141
464	1.871849056
465	1.87013058
466	1.867982887
467	1.866116489
468	1.86425895
469	1.862988618
470	1.86174993
471	1.858473979
472	1.856650075
473	1.852582199
474	1.849685735
475	1.846362919
476	1.842709014
477	1.839725729
478	1.835675765
479	1.835011721
480	1.83016811
481	1.829351937
482	1.82695467
483	1.823789433
484	1.820074572
485	1.815308471
486	1.812112795
487	1.810735731
488	1.807177478
489	1.802526611
490	1.801520006
491	1.800653679
492	1.799910522
493	1.797507806
494	1.794061378
495	1.790105206
496	1.786354588
497	1.782749316
498	1.77915767
499	1.778205818
500	1.773999275
501	1.772639634
502	1.769395335
503	1.768026799
504	1.764543019
505	1.762374552
506	1.760157688
507	1.755902331
508	1.754305477
509	1.750655429
510	1.74990738
511	1.748652676
512	1.747887157
513	1.747294886
514	1.742826035
515	1.740969816
516	1.73865687
517	1.735626436
518	1.731738333
519	1.728887741
520	1.727208622
521	1.723884067
522	1.721274857
523	1.718200385
524	1.714517787
525	1.711514911
526	1.710716706
527	1.709471538
528	1.707755944
529	1.705006645
530	1.70430534
531	1.701923503
532	1.698091431
533	1.696644397
534	1.694361577
535	1.691029793
536	1.687635727
537	1.687010057
538	1.684240346
539	1.681553128
540	1.679576115
541	1.677513261
542	1.674362975
543	1.66999522
544	1.665376624
545	1.662858752
546	1.661001964
547	1.657052414
548	1.656270999
549	1.65271668
550	1.65163355
551	1.648238643
552	1.646222886
553	1.644060205
554	1.640257021
555	1.638264252
556	1.634586389
557	1.633936406
558	1.633263529
559	1.632658573
560	1.630502124
561	1.627480118
562	1.625959914
563	1.622423855
564	1.620300937
565	1.617171499
566	1.614220907
567	1.611417268
568	1.608016094
569	1.604885382
570	1.603453689
571	1.599592321
572	1.596488882
573	1.594789903
574	1.59405194
575	1.592649769
576	1.589823282
577	1.588488529
578	1.585141204
579	1.582398798
580	1.581201217
581	1.58088194
582	1.578828312
583	1.575335385
584	1.572460011
585	1.569977816
586	1.569203117
587	1.568517471
588	1.565391866
589	1.563550786
590	1.560670238
591	1.559771193
592	1.558730708
593	1.556346196
594	1.554857026
595	1.551758853
596	1.548939525
597	1.545439274
598	1.544142357
599	1.541547653
600	1.53839036
601	1.537726211
602	1.534614286
603	1.53207289
604	1.529485767
605	1.527477378
606	1.525475961
607	1.522042451
608	1.519830104
609	1.517590233
610	1.517005139
611	1.514251297
612	1.511175252
613	1.509682083
614	1.506135565
615	1.504581468
616	1.503083823
617	1.50077141
618	1.499452811
619	1.498858404
620	1.495723544
621	1.493267452
622	1.491799936
623	1.489692548
624	1.486325896
625	1.484723764
626	1.482136616
627	1.479621253
628	1.476265065
629	1.472670254
630	1.469486737
631	1.468375591
632	1.466785601
633	1.465951514
634	1.464557216
635	1.463288187
636	1.460944151
637	1.458242672
638	1.457050456
639	1.454225377
640	1.45312967
641	1.45261806
642	1.450328289
643	1.447777358
644	1.445291193
645	1.444216351
646	1.443087992
647	1.442697013
648	1.441847439
649	1.439812344
650	1.436618378
651	1.43415651
652	1.433690544
653	1.431329952
654	1.429727099
655	1.429112322
656	1.426581165
657	1.423348746
658	1.420320448
659	1.417531458
660	1.415885644
661	1.414411865
662	1.413505402
663	1.411718286
664	1.408693329
665	1.405527644
666	1.402337517
667	1.399985551
668	1.397379939
669	1.395671181
670	1.394958379
671	1.39204974
672	1.391552361
673	1.389393155
674	1.387898185
675	1.386724121
676	1.383992745
677	1.381463477
678	1.37970325
679	1.378976169
680	1.376536573
681	1.374410452
682	1.37148078
683	1.36837971
684	1.366269288
685	1.364880573
686	1.362639705
687	1.36105308
688	1.358938301
689	1.357202951
690	1.354583797
691	1.353552337
692	1.350662666
693	1.347954522
694	1.346023512
695	1.345364547
696	1.344843873
697	1.341883915
698	1.338783852
699	1.336186792
700	1.333701075
701	1.331983788
702	1.329933735
703	1.329514326
704	1.326974713
705	1.324889817
706	1.323180668
707	1.322760063
708	1.321148454
709	1.31893088
710	1.316515442
711	1.316141659
712	1.313824219
713	1.312664434
714	1.311397466
715	1.30894128
716	1.306918472
717	1.305250433
718	1.303534575
719	1.301285624
720	1.300721282
721	1.298082786
722	1.295724849
723	1.295161591
724	1.293145466
725	1.291126029
726	1.288491275
727	1.286752139
728	1.284506713
729	1.282590873
730	1.280706902
731	1.279206195
732	1.277274176
733	1.275670655
734	1.273526584
735	1.272250693
736	1.271559844
737	1.271117145
738	1.268795088
739	1.268456725
740	1.267966083
741	1.266748734
742	1.264946489
743	1.262952278
744	1.260596746
745	1.259274923
746	1.258285339
747	1.257977128
748	1.257660748
749	1.255858855
750	1.253696452
751	1.252021643
752	1.249389896
753	1.248302527
754	1.246108043
755	1.245598793
756	1.243648563
757	1.243297002
758	1.241397078
759	1.240304116
760	1.238471453
761	1.237532325
762	1.235850318
763	1.234611082
764	1.234238113
765	1.233956931
766	1.231612274
767	1.230570095
768	1.229098256
769	1.226759942
770	1.22635616
771	1.224859489
772	1.222163993
773	1.219535603
774	1.216925347
775	1.215290431
776	1.214183316
777	1.212594835
778	1.212245067
779	1.211506188
780	1.210603955
781	1.208685824
782	1.206620359
783	1.205251683
784	1.20406348
785	1.202949336
786	1.201498882
787	1.199609799
788	1.19736466
789	1.194885535
790	1.193387541
791	1.191161862
792	1.18988755
793	1.188201052
794	1.187673989
795	1.185706681
796	1.183933517
797	1.182339532
798	1.181409894
799	1.18095159
800	1.178753044
801	1.178064563
802	1.177190112
803	1.176752885
804	1.17556244
805	1.174035052
806	1.172144927
807	1.170304709
808	1.168652556
809	1.167209065
810	1.165938656
811	1.163446866
812	1.161432363
813	1.159329112
814	1.156911567
815	1.15545763
816	1.154057739
817	1.152084282
818	1.149523691
819	1.14763705
820	1.147233452
821	1.145302005
822	1.143121556
823	1.141613308
824	1.141093531
825	1.139502081
826	1.13816752
827	1.1377939
828	1.13537498
829	1.134751323
830	1.133325909
831	1.131410487
832	1.131033207
833	1.129158867
834	1.127938514
835	1.125645195
836	1.124217579
837	1.123662036
838	1.122743438
839	1.121576383
840	1.120708425
841	1.118826758
842	1.117818179
843	1.117051544
844	1.116859556
845	1.116258947
846	1.113702987
847	1.1124648
848	1.11072441
849	1.110233719
850	1.108334503
851	1.106671108
852	1.10461372
853	1.102965792
854	1.101099361
855	1.100578161
856	1.100197893
857	1.098622717
858	1.097277732
859	1.095286543
860	1.093749314
861	1.091559164
862	1.089796457
863	1.088403163
864	1.086213642
865	1.085426141
866	1.083567586
867	1.082327474
868	1.081323703
869	1.078768912
870	1.076801501
871	1.075423869
872	1.073654547
873	1.071900253
874	1.070548925
875	1.069172265
876	1.068450105
877	1.067776973
878	1.066150795
879	1.064377399
880	1.063498863
881	1.06281951
882	1.061499085
883	1.059913398
884	1.058556708
885	1.057078749
886	1.055396172
887	1.053777077
888	1.052042014
889	1.051038557
890	1.04947527
891	1.04797258
892	1.046329515
893	1.045960905
894	1.0439351
895	1.041879151
896	1.040954469
897	1.040556238
898	1.038856237
899	1.036851831
900	1.034765395
901	1.034082563
902	1.03361296
903	1.032359971
904	1.032108121
905	1.031603825
906	1.030254245
907	1.029013617
908	1.027549808
909	1.025572238
910	1.024383109
911	1.022682364
912	1.020500932
913	1.020232711
914	1.018918304
915	1.017135007
916	1.015879216
917	1.01453862
918	1.0143179
919	1.013505139
920	1.012768547
921	1.011148051
922	1.009442355
923	1.009025685
924	1.007432504
925	1.005589528
926	1.004262266
927	1.002850612
928	1.000999777
929	1.00063747
930	0.9990538141
931	0.9984524443
932	0.9969795019
933	0.9953723214
934	0.9939238446
935	0.9932671369
936	0.9920222698
937	0.9908776584
938	0.989655194
939	0.9887958934
940	0.9870841827
941	0.9853707172
942	0.9849303892
943	0.9832342695
944	0.982289995
945	0.9804268238
946	0.9791163668
947	0.9786909012
948	0.9770985285
949	0.9756199768
950	0.9743313782
951	0.9734115597
952	0.9716021827
953	0.9713590851
954	0.9700319463
955	0.9686150366
956	0.9675480687
957	0.9665778808
958	0.9661844201
959	0.9645011671
960	0.962695852
961	0.9612324854
962	0.9608166816
963	0.9594804539
964	0.9586344139
965	0.9571458008
966	0.9557392894
967	0.9543699776
968	0.953103447
969	0.9528410012
970	0.9517645364
971	0.9505296915
972	0.9497116586
973	0.948333563
974	0.9476847874
975	0.9456028559
976	0.9447126985
977	0.9429381245
978	0.9416047068
979	0.9402634245
980	0.9387291836
981	0.9373693699
982	0.9361438029
983	0.9357384231
984	0.9350743246
985	0.9333607143
986	0.9316213829
987	0.9307414611
988	0.9292445916
989	0.9288694699
990	0.9274331651
991	0.9266813004
992	0.9250736015
993	0.9242115488
994	0.9231559374
995	0.922777292
996	0.922075606
997	0.9207396474
998	0.9197896997
999	0.9185257654
